127.0.0.1, 2015-01-14 08:21:44, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2015-01-14 08:21:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.424000
127.0.0.1, 2015-01-14 08:21:47, GET, /admin/default/index, HTTP/1.1, 200, 0.218000
127.0.0.1, 2015-01-14 08:21:50, POST, /admin/default/index, HTTP/1.1, 303, 0.048000
127.0.0.1, 2015-01-14 08:21:50, GET, /admin/default/site, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-01-14 08:22:00, GET, /admin/default/site, HTTP/1.1, 303, 0.012000
127.0.0.1, 2015-01-14 08:22:00, GET, /admin/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2015-01-14 08:22:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-01-14 08:22:03, POST, /admin/default/index, HTTP/1.1, 303, 0.052000
127.0.0.1, 2015-01-14 08:22:03, GET, /admin/default/site, HTTP/1.1, 200, 0.129000
127.0.0.1, 2015-01-14 08:22:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.428000
127.0.0.1, 2015-01-14 08:22:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-01-14 08:22:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-01-14 08:22:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-01-14 08:27:15, GET, /medications/default/index, HTTP/1.1, 303, 0.095000
127.0.0.1, 2015-01-14 08:27:16, GET, /medications/default/user/login, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-01-14 08:32:48, POST, /medications/default/user/login, HTTP/1.1, 303, 0.065000
127.0.0.1, 2015-01-14 08:32:49, GET, /medications/default/index, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-01-14 08:32:51, GET, /medications/default/show/1, HTTP/1.1, 500, 0.196000
127.0.0.1, 2015-01-14 08:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-01-14 08:32:54, GET, /admin/default/ticket/medications/127.0.0.1.2015-01-14.08-32-51.0ed68e79-a719-4174-9e49-db13bbf3a1b2, HTTP/1.1, 200, 0.111000
127.0.0.1, 2015-01-14 08:32:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-01-14 08:33:04, GET, /medications/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2015-01-14 08:33:21, GET, /medications/default/show/3, HTTP/1.1, 500, 0.061000
127.0.0.1, 2015-01-14 08:33:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-01-14 08:33:25, GET, /admin/default/ticket/medications/127.0.0.1.2015-01-14.08-33-21.f547c8b2-7afe-455b-910c-7bdfcecff3c9, HTTP/1.1, 200, 0.135000
127.0.0.1, 2015-01-14 08:33:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
